Isabela Correia, (27) 25564-6622, isabela.correia@pucminas.br, Coracao Eucaristico
Gabriel Lima, (69) 74555-6188, gabriel.lima@pucminas.br, Barreiro
Pedro Cunha, (75) 54598-9459, pedro.cunha@pucminas.br, Pocos de Caldas
Manuela Nascimento, (45) 11328-1224, manuela.nascimento@pucminas.br, Pocos de Caldas
Carlos Dias, (31) 59138-6835, carlos.dias@pucminas.br, Contagem
Vinicius Costa, (82) 63966-7318, vinicius.costa@pucminas.br, Barreiro
Diego Cardoso, (37) 62965-2877, diego.cardoso@pucminas.br, Contagem
Ricardo Araujo, (38) 59515-7746, ricardo.araujo@pucminas.br, Betim
Rafael Santos, (78) 55164-8097, rafael.santos@pucminas.br, Praca da Liberdade
Felipe Rocha, (74) 83530-9884, felipe.rocha@pucminas.br, Barreiro
Gabriel Araujo, (32) 86159-4148, gabriel.araujo@pucminas.br, Pocos de Caldas
Eloisa Silva, (81) 23933-9569, eloisa.silva@pucminas.br, Sao Gabriel
Felipe Carvalho, (69) 86229-7465, felipe.carvalho@pucminas.br, Betim
Diego Teixeira, (42) 67805-3350, diego.teixeira@pucminas.br, Contagem
Ana Freitas, (54) 46210-5456, ana.freitas@pucminas.br, Sao Gabriel
Sofia Costa, (38) 49332-7508, sofia.costa@pucminas.br, Coracao Eucaristico
Gustavo Pinto, (56) 65579-7772, gustavo.pinto@pucminas.br, Praca da Liberdade
Ana Teixeira, (94) 38287-9027, ana.teixeira@pucminas.br, Contagem
Gabriel Correia, (20) 33967-2365, gabriel.correia@pucminas.br, Coracao Eucaristico
Sofia Araujo, (71) 26382-4065, sofia.araujo@pucminas.br, Sao Gabriel
Vinicius Fernandes, (76) 19966-8128, vinicius.fernandes@pucminas.br, Coracao Eucaristico
Leonardo Moreira, (30) 12064-4896, leonardo.moreira@pucminas.br, Coracao Eucaristico
Lucas Ribeiro, (52) 92435-9331, lucas.ribeiro@pucminas.br, Sao Gabriel
Vinicius Teixeira, (54) 55937-2900, vinicius.teixeira@pucminas.br, Sao Gabriel
Felipe Ribeiro, (71) 86289-7902, felipe.ribeiro@pucminas.br, Sao Gabriel
Pedro Pinto, (12) 96139-4935, pedro.pinto@pucminas.br, Barreiro
Daniel Rodrigues, (14) 55162-9651, daniel.rodrigues@pucminas.br, Betim
Pedro Teixeira, (55) 70855-2521, pedro.teixeira@pucminas.br, Contagem
Thiago Gomes, (84) 63875-5208, thiago.gomes@pucminas.br, Barreiro
Rafael Gomes, (31) 37512-5137, rafael.gomes@pucminas.br, Praca da Liberdade
Clara Ribeiro, (75) 90711-5081, clara.ribeiro@pucminas.br, Coracao Eucaristico
Pedro Carvalho, (55) 55269-2928, pedro.carvalho@pucminas.br, Pocos de Caldas
Camila Rocha, (27) 13404-5009, camila.rocha@pucminas.br, Coracao Eucaristico
Leonardo Carvalho, (40) 88780-9542, leonardo.carvalho@pucminas.br, Contagem
Ricardo Silva, (21) 39693-4230, ricardo.silva@pucminas.br, Pocos de Caldas
Eloisa Araujo, (83) 12767-6899, eloisa.araujo@pucminas.br, Pocos de Caldas
Luiza Dias, (24) 11045-9937, luiza.dias@pucminas.br, Praca da Liberdade
Joana Martins, (95) 71725-6962, joana.martins@pucminas.br, Contagem
Thiago Teixeira, (72) 13281-2317, thiago.teixeira@pucminas.br, Praca da Liberdade
Beatriz Cardoso, (84) 40033-3500, beatriz.cardoso@pucminas.br, Contagem
Matheus Araujo, (40) 45005-4957, matheus.araujo@pucminas.br, Betim
Manuela Araujo, (14) 25745-8178, manuela.araujo@pucminas.br, Coracao Eucaristico
Eloisa Correia, (35) 38647-9447, eloisa.correia@pucminas.br, Sao Gabriel
Sofia Rodrigues, (59) 11222-6797, sofia.rodrigues@pucminas.br, Coracao Eucaristico
Pedro Gomes, (19) 23346-2341, pedro.gomes@pucminas.br, Betim
Thiago Correia, (99) 88018-6570, thiago.correia@pucminas.br, Sao Gabriel
Ana Cardoso, (73) 35530-8066, ana.cardoso@pucminas.br, Contagem
Carlos Silva, (38) 69378-2008, carlos.silva@pucminas.br, Praca da Liberdade
Matheus Santos, (96) 80296-7731, matheus.santos@pucminas.br, Barreiro
Gustavo Alves, (23) 72252-2825, gustavo.alves@pucminas.br, Coracao Eucaristico
Rafael Oliveira, (46) 63797-9337, rafael.oliveira@pucminas.br, Praca da Liberdade
Isabela Carvalho, (88) 54526-3252, isabela.carvalho@pucminas.br, Betim
Beatriz Pinto, (42) 97455-3810, beatriz.pinto@pucminas.br, Sao Gabriel
Fernanda Lima, (83) 62627-8059, fernanda.lima@pucminas.br, Coracao Eucaristico
Lucas Moreira, (71) 72514-6142, lucas.moreira@pucminas.br, Pocos de Caldas
Thiago Rocha, (15) 15250-7106, thiago.rocha@pucminas.br, Sao Gabriel
Matheus Moreira, (45) 82427-8731, matheus.moreira@pucminas.br, Sao Gabriel
Matheus Dias, (24) 99107-7671, matheus.dias@pucminas.br, Pocos de Caldas
Leticia Santos, (61) 89178-3291, leticia.santos@pucminas.br, Barreiro
Rafael Almeida, (93) 87995-7601, rafael.almeida@pucminas.br, Coracao Eucaristico
Ana Lima, (65) 94243-2523, ana.lima@pucminas.br, Pocos de Caldas
Matheus Fernandes, (58) 42715-4554, matheus.fernandes@pucminas.br, Barreiro
Joana Araujo, (23) 36225-2506, joana.araujo@pucminas.br, Betim
Samuel Reis, (17) 78499-4567, samuel.reis@pucminas.br, Contagem
Carlos Nascimento, (86) 48339-7139, carlos.nascimento@pucminas.br, Coracao Eucaristico
Manuela Cunha, (71) 86714-2632, manuela.cunha@pucminas.br, Betim
Isabela Gomes, (57) 26244-3867, isabela.gomes@pucminas.br, Coracao Eucaristico
Larissa Freitas, (89) 40668-2104, larissa.freitas@pucminas.br, Barreiro
Leonardo Araujo, (79) 86094-4918, leonardo.araujo@pucminas.br, Barreiro
Felipe Cunha, (35) 16805-6964, felipe.cunha@pucminas.br, Praca da Liberdade
Mariana Pereira, (35) 55065-8746, mariana.pereira@pucminas.br, Praca da Liberdade
Camila Cunha, (14) 24589-6721, camila.cunha@pucminas.br, Coracao Eucaristico
Ricardo Oliveira, (17) 34448-5379, ricardo.oliveira@pucminas.br, Contagem
Joana Teixeira, (26) 12881-5001, joana.teixeira@pucminas.br, Contagem
Leonardo Nascimento, (46) 42710-7521, leonardo.nascimento@pucminas.br, Coracao Eucaristico
Eloisa Nascimento, (43) 55052-6499, eloisa.nascimento@pucminas.br, Contagem
Carlos Rocha, (65) 36381-8156, carlos.rocha@pucminas.br, Barreiro
Luiza Souza, (37) 96203-8139, luiza.souza@pucminas.br, Sao Gabriel
Manuela Souza, (65) 25477-5255, manuela.souza@pucminas.br, Sao Gabriel
Samuel Cardoso, (39) 93908-7179, samuel.cardoso@pucminas.br, Betim
Ana Nascimento, (48) 33547-8068, ana.nascimento@pucminas.br, Contagem
Leticia Oliveira, (70) 92162-4289, leticia.oliveira@pucminas.br, Contagem
Julia Pereira, (54) 87354-7437, julia.pereira@pucminas.br, Coracao Eucaristico
Gabriel Martins, (13) 42431-9378, gabriel.martins@pucminas.br, Barreiro
Diego Correia, (47) 73982-5828, diego.correia@pucminas.br, Pocos de Caldas
Sofia Almeida, (60) 99450-9777, sofia.almeida@pucminas.br, Contagem
Carlos Mendes, (51) 84885-9734, carlos.mendes@pucminas.br, Barreiro
Sofia Carvalho, (27) 50446-1743, sofia.carvalho@pucminas.br, Betim
Gustavo Correia, (63) 46080-9307, gustavo.correia@pucminas.br, Sao Gabriel
Pedro Barbosa, (23) 67119-1121, pedro.barbosa@pucminas.br, Pocos de Caldas
Samuel Gomes, (87) 47315-7663, samuel.gomes@pucminas.br, Coracao Eucaristico
Diego Santos, (17) 96446-7044, diego.santos@pucminas.br, Pocos de Caldas
Julia Silva, (22) 61788-1710, julia.silva@pucminas.br, Sao Gabriel
Eloisa Cunha, (54) 18490-8105, eloisa.cunha@pucminas.br, Barreiro
Gustavo Martins, (89) 95257-5207, gustavo.martins@pucminas.br, Pocos de Caldas
Samuel Barbosa, (42) 73229-4577, samuel.barbosa@pucminas.br, Praca da Liberdade
Diego Moreira, (52) 52374-9953, diego.moreira@pucminas.br, Contagem
Gabriel Pereira, (79) 24392-9077, gabriel.pereira@pucminas.br, Betim
Daniel Fernandes, (65) 37799-7467, daniel.fernandes@pucminas.br, Barreiro
Eloisa Barbosa, (68) 74232-4814, eloisa.barbosa@pucminas.br, Sao Gabriel
Fernanda Almeida, (13) 11401-9834, fernanda.almeida@pucminas.br, Praca da Liberdade
Eloisa Martins, (97) 41041-2676, eloisa.martins@pucminas.br, Barreiro
Isabela Nascimento, (14) 30775-7154, isabela.nascimento@pucminas.br, Praca da Liberdade
Eloisa Almeida, (32) 61173-5645, eloisa.almeida@pucminas.br, Barreiro
Daniel Mendes, (85) 43945-5483, daniel.mendes@pucminas.br, Pocos de Caldas
Julia Carvalho, (38) 52303-8912, julia.carvalho@pucminas.br, Sao Gabriel
Ricardo Barbosa, (96) 50210-2752, ricardo.barbosa@pucminas.br, Sao Gabriel
Matheus Barbosa, (98) 26381-8966, matheus.barbosa@pucminas.br, Barreiro
Clara Lima, (19) 12911-6169, clara.lima@pucminas.br, Sao Gabriel
Lucas Fernandes, (11) 74218-6594, lucas.fernandes@pucminas.br, Pocos de Caldas
Luiza Teixeira, (33) 86683-8654, luiza.teixeira@pucminas.br, Contagem
Diego Silva, (19) 35522-8598, diego.silva@pucminas.br, Betim
Fernanda Correia, (72) 52287-8057, fernanda.correia@pucminas.br, Contagem
Daniel Barbosa, (68) 81897-3893, daniel.barbosa@pucminas.br, Betim
Luiza Pinto, (48) 32828-2761, luiza.pinto@pucminas.br, Pocos de Caldas
Lucas Cardoso, (54) 60804-3195, lucas.cardoso@pucminas.br, Coracao Eucaristico
Lucas Rodrigues, (63) 56407-5804, lucas.rodrigues@pucminas.br, Betim
Clara Costa, (72) 94340-4521, clara.costa@pucminas.br, Praca da Liberdade
Felipe Gomes, (67) 10228-5136, felipe.gomes@pucminas.br, Praca da Liberdade
Larissa Almeida, (82) 94216-3755, larissa.almeida@pucminas.br, Contagem
Joana Oliveira, (52) 32000-4330, joana.oliveira@pucminas.br, Pocos de Caldas
Fernanda Souza, (17) 67007-1641, fernanda.souza@pucminas.br, Contagem
Camila Nascimento, (90) 60095-2116, camila.nascimento@pucminas.br, Contagem
Leticia Carvalho, (58) 67199-5931, leticia.carvalho@pucminas.br, Coracao Eucaristico
Rafael Rocha, (40) 76596-3324, rafael.rocha@pucminas.br, Coracao Eucaristico
Luiza Rodrigues, (76) 44922-7638, luiza.rodrigues@pucminas.br, Pocos de Caldas
Leonardo Fernandes, (55) 10857-8205, leonardo.fernandes@pucminas.br, Betim
Leticia Ribeiro, (32) 62218-6543, leticia.ribeiro@pucminas.br, Coracao Eucaristico
Mariana Silva, (25) 34997-3063, mariana.silva@pucminas.br, Praca da Liberdade
Leticia Moreira, (60) 64315-6216, leticia.moreira@pucminas.br, Betim
Thiago Silva, (79) 27035-6561, thiago.silva@pucminas.br, Sao Gabriel
Eloisa Reis, (18) 20824-5039, eloisa.reis@pucminas.br, Coracao Eucaristico
Fernanda Mendes, (52) 73394-2452, fernanda.mendes@pucminas.br, Praca da Liberdade
Clara Pereira, (71) 19577-2321, clara.pereira@pucminas.br, Sao Gabriel
Beatriz Oliveira, (52) 42888-2658, beatriz.oliveira@pucminas.br, Betim
Leticia Farias, (44) 74406-2001, leticia.farias@pucminas.br, Sao Gabriel
Matheus Rocha, (81) 82261-3228, matheus.rocha@pucminas.br, Sao Gabriel
Thiago Freitas, (88) 59167-8829, thiago.freitas@pucminas.br, Pocos de Caldas
Ana Carvalho, (51) 17349-3874, ana.carvalho@pucminas.br, Coracao Eucaristico
Ana Souza, (56) 58498-9418, ana.souza@pucminas.br, Betim
Felipe Freitas, (19) 62660-4289, felipe.freitas@pucminas.br, Barreiro
Manuela Reis, (56) 49364-4253, manuela.reis@pucminas.br, Betim
Thiago Moreira, (50) 72422-3875, thiago.moreira@pucminas.br, Contagem
Daniel Santos, (45) 18950-5830, daniel.santos@pucminas.br, Sao Gabriel
Diego Rodrigues, (64) 45013-1644, diego.rodrigues@pucminas.br, Betim
Daniel Carvalho, (60) 23720-5938, daniel.carvalho@pucminas.br, Betim
Gustavo Araujo, (29) 34837-2135, gustavo.araujo@pucminas.br, Barreiro
Camila Reis, (56) 51772-4882, camila.reis@pucminas.br, Betim
Samuel Moreira, (72) 47943-8919, samuel.moreira@pucminas.br, Betim
Julia Farias, (73) 49170-2290, julia.farias@pucminas.br, Contagem
Eloisa Ribeiro, (98) 10353-3859, eloisa.ribeiro@pucminas.br, Coracao Eucaristico
Manuela Lima, (68) 28256-4648, manuela.lima@pucminas.br, Praca da Liberdade
Matheus Rodrigues, (32) 39690-6846, matheus.rodrigues@pucminas.br, Sao Gabriel
Gustavo Fernandes, (96) 69847-2835, gustavo.fernandes@pucminas.br, Sao Gabriel
Luiza Rocha, (15) 37941-5615, luiza.rocha@pucminas.br, Contagem
Vinicius Dias, (66) 55164-1123, vinicius.dias@pucminas.br, Pocos de Caldas
Vinicius Cardoso, (17) 70063-6020, vinicius.cardoso@pucminas.br, Sao Gabriel
Beatriz Farias, (20) 19853-1251, beatriz.farias@pucminas.br, Sao Gabriel
Vinicius Mendes, (33) 94613-4972, vinicius.mendes@pucminas.br, Sao Gabriel
Beatriz Nascimento, (16) 43465-7709, beatriz.nascimento@pucminas.br, Barreiro
Beatriz Barbosa, (42) 94308-1396, beatriz.barbosa@pucminas.br, Barreiro
Ana Oliveira, (55) 60954-1022, ana.oliveira@pucminas.br, Barreiro
Larissa Carvalho, (17) 96576-3663, larissa.carvalho@pucminas.br, Sao Gabriel
Gabriel Cunha, (15) 51370-7259, gabriel.cunha@pucminas.br, Sao Gabriel
Thiago Rodrigues, (88) 89064-2028, thiago.rodrigues@pucminas.br, Barreiro
Samuel Pinto, (23) 39271-1517, samuel.pinto@pucminas.br, Sao Gabriel
Beatriz Almeida, (47) 12911-3266, beatriz.almeida@pucminas.br, Praca da Liberdade
Pedro Silva, (39) 56113-7668, pedro.silva@pucminas.br, Praca da Liberdade
FIM
200
Isabela Barbosa
Thiago Cardoso
Leonardo Araujo
Larissa Araujo
Felipe Farias
Samuel Gomes
Manuela Almeida
Vinicius Dias
Thiago Moreira
Julia Carvalho
Leticia Almeida
Beatriz Dias
Felipe Mendes
Pedro Mendes
Camila Araujo
Beatriz Silva
Ana Pinto
Beatriz Cardoso
Gustavo Martins
Felipe Alves
Gabriel Martins
Thiago Dias
Eloisa Teixeira
Clara Lima
Lucas Rodrigues
Thiago Rocha
Lucas Santos
Sofia Cunha
Camila Lima
Gustavo Pinto
Gabriel Freitas
Clara Ribeiro
Vinicius Pinto
Beatriz Reis
Mariana Almeida
Joana Cardoso
Pedro Costa
Julia Mendes
Gabriel Araujo
Beatriz Souza
Daniel Fernandes
Carlos Costa
Leticia Santos
Matheus Nascimento
Julia Pereira
Manuela Araujo
Vinicius Freitas
Joana Martins
Diego Correia
Clara Oliveira
Ana Carvalho
Lucas Barbosa
Isabela Reis
Clara Farias
Rafael Nascimento
Ana Cunha
Leticia Martins
Ricardo Barbosa
Isabela Lima
Rafael Pereira
Lucas Reis
Vinicius Cardoso
Pedro Gomes
Ana Nascimento
Ana Rodrigues
Isabela Nascimento
Rafael Reis
Felipe Souza
Matheus Costa
Camila Reis
Leticia Dias
Eloisa Moreira
Julia Farias
Thiago Rodrigues
Sofia Carvalho
Larissa Almeida
Eloisa Cardoso
Luiza Silva
Ana Cardoso
Carlos Martins
Sofia Rodrigues
Larissa Carvalho
Ricardo Dias
Rafael Correia
Daniel Martins
Eloisa Freitas
Sofia Dias
Ana Teixeira
Samuel Oliveira
Manuela Cardoso
Sofia Freitas
Isabela Araujo
Luiza Almeida
Carlos Araujo
Clara Teixeira
Rafael Oliveira
Vinicius Souza
Larissa Dias
Beatriz Pinto
Gustavo Costa
Beatriz Oliveira
Luiza Araujo
Ana Oliveira
Joana Nascimento
Samuel Rocha
Camila Ribeiro
Fernanda Reis
Luiza Carvalho
Gabriel Correia
Eloisa Lima
Ricardo Oliveira
Fernanda Cunha
Julia Silva
Lucas Pereira
Samuel Pinto
Matheus Ribeiro
Beatriz Carvalho
Sofia Santos
Carlos Mendes
Fernanda Souza
Leticia Correia
Rafael Cardoso
Sofia Alves
Gustavo Araujo
Eloisa Reis
Gustavo Correia
Ana Lima
Daniel Silva
Leonardo Carvalho
Pedro Alves
Vinicius Costa
Diego Rodrigues
Pedro Silva
Ana Correia
Rafael Dias
Fernanda Carvalho
Clara Costa
Ana Santos
Rafael Rocha
Rafael Almeida
Luiza Correia
Leticia Pereira
Luiza Pinto
Matheus Fernandes
Carlos Dias
Samuel Barbosa
Mariana Silva
Joana Pereira
Pedro Reis
Julia Barbosa
Carlos Pereira
Daniel Teixeira
Samuel Alves
Vinicius Ribeiro
Mariana Araujo
Vinicius Rocha
Daniel Gomes
Thiago Silva
Matheus Araujo
Joana Lima
Daniel Nascimento
Thiago Oliveira
Carlos Teixeira
Daniel Almeida
Gustavo Teixeira
Mariana Cunha
Leonardo Freitas
Camila Nascimento
Pedro Rocha
Ana Almeida
Samuel Pereira
Leticia Rodrigues
Mariana Reis
Leonardo Pereira
Samuel Almeida
Luiza Costa
Larissa Freitas
Eloisa Gomes
Rafael Santos
Ana Araujo
Gustavo Fernandes
Luiza Farias
Vinicius Rodrigues
Camila Rocha
Samuel Ribeiro
Matheus Dias
Fernanda Dias
Camila Mendes
Samuel Reis
Julia Alves
Larissa Teixeira
Beatriz Lima
Mariana Costa
Camila Teixeira
Beatriz Rodrigues
Samuel Fernandes
Camila Moreira
Diego Santos
Ana Rocha
Felipe Carvalho
